priority,transaction_id,cohort,merchant,amount,primary_cause,recommended_action
P2,b0323023-0e58-46e2-92a7-44671659343e,A_NOT_APPROVED,Bombay Darbar,33.17,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4de268b9-dbb6-4673-a8e3-4ebb94c5389d,A_NOT_APPROVED,Uber,9.94,Awaiting approval,Approve transaction
P2,4de268b9-dbb6-4673-a8e3-4ebb94c5389d,A_NOT_APPROVED,Uber,9.94,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,8253bdbf-35a8-4e24-a950-00a5cb0f4c21,A_NOT_APPROVED,TAKATO,80.48,Awaiting approval,Approve transaction
P2,8253bdbf-35a8-4e24-a950-00a5cb0f4c21,A_NOT_APPROVED,TAKATO,80.48,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,ccec751c-49d4-4c77-90cd-43e655b2e9d5,A_NOT_APPROVED,Uber,2,Awaiting approval,Approve transaction
P2,ccec751c-49d4-4c77-90cd-43e655b2e9d5,A_NOT_APPROVED,Uber,2,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,8faf3eac-2642-4c81-9aba-ce66469bb238,A_NOT_APPROVED,Evelyn's,959.15,Awaiting approval,Approve transaction
P2,8faf3eac-2642-4c81-9aba-ce66469bb238,A_NOT_APPROVED,Evelyn's,959.15,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,90237396-5cc7-443f-8395-37064fe46e14,A_NOT_APPROVED,Power Center,20,Awaiting approval,Approve transaction
P2,90237396-5cc7-443f-8395-37064fe46e14,A_NOT_APPROVED,Power Center,20,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,09bf424f-ba4a-4c1e-9ea5-8b970e742b03,A_NOT_APPROVED,Power Center,17,Awaiting approval,Approve transaction
P2,09bf424f-ba4a-4c1e-9ea5-8b970e742b03,A_NOT_APPROVED,Power Center,17,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,bf5a90b5-1549-4092-9968-83fcfe65e6d0,A_NOT_APPROVED,365 Retail Markets,4,Awaiting approval,Approve transaction
P2,bf5a90b5-1549-4092-9968-83fcfe65e6d0,A_NOT_APPROVED,365 Retail Markets,4,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,5c60b621-6900-4f1d-8a24-31cb6493214f,A_NOT_APPROVED,Marriott,20.26,Awaiting approval,Approve transaction
P2,5c60b621-6900-4f1d-8a24-31cb6493214f,A_NOT_APPROVED,Marriott,20.26,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,dd87ebb4-4b19-462a-a701-aba194c5613b,A_NOT_APPROVED,Marriott,14.18,Awaiting approval,Approve transaction
P2,dd87ebb4-4b19-462a-a701-aba194c5613b,A_NOT_APPROVED,Marriott,14.18,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,c4d9ea58-5888-4cae-a9ab-d65bdaa7ceae,A_NOT_APPROVED,Air Canada,22.13,Awaiting approval,Approve transaction
P2,c4d9ea58-5888-4cae-a9ab-d65bdaa7ceae,A_NOT_APPROVED,Air Canada,22.13,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,659a5d2d-743e-4ae3-9583-a996b7f08fe4,A_NOT_APPROVED,Madareem Hotel,1342.86,Awaiting approval,Approve transaction
P2,659a5d2d-743e-4ae3-9583-a996b7f08fe4,A_NOT_APPROVED,Madareem Hotel,1342.86,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,d4db9d5b-a537-48be-b14b-b693ac4a0d58,A_NOT_APPROVED,365 Retail Markets,5,Awaiting approval,Approve transaction
P2,d4db9d5b-a537-48be-b14b-b693ac4a0d58,A_NOT_APPROVED,365 Retail Markets,5,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,42b87a46-dc9b-4216-bd01-c6a76fdcc292,A_NOT_APPROVED,Oven and Shaker,15.49,Awaiting approval,Approve transaction
P2,42b87a46-dc9b-4216-bd01-c6a76fdcc292,A_NOT_APPROVED,Oven and Shaker,15.49,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,c7c02ba2-7898-4630-b980-d9362871541f,A_NOT_APPROVED,Uber,26.95,Awaiting approval,Approve transaction
P2,c7c02ba2-7898-4630-b980-d9362871541f,A_NOT_APPROVED,Uber,26.95,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,da9c1679-3bba-469f-8751-a8d9accc65b2,A_NOT_APPROVED,The Heathman Hotel,198.64,Awaiting approval,Approve transaction
P2,da9c1679-3bba-469f-8751-a8d9accc65b2,A_NOT_APPROVED,The Heathman Hotel,198.64,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f81ea3f8-d0c9-4ea4-a534-ff0821ccd10e,A_NOT_APPROVED,Uber,13.94,Awaiting approval,Approve transaction
P2,f81ea3f8-d0c9-4ea4-a534-ff0821ccd10e,A_NOT_APPROVED,Uber,13.94,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,a737b792-427a-42fc-afcc-61537c4246a6,A_NOT_APPROVED,Marriott,28.14,Awaiting approval,Approve transaction
P2,a737b792-427a-42fc-afcc-61537c4246a6,A_NOT_APPROVED,Marriott,28.14,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,a1f0f804-8ec4-43fe-bc96-0827a0d77200,A_NOT_APPROVED,Uber,18.98,Awaiting approval,Approve transaction
P2,a1f0f804-8ec4-43fe-bc96-0827a0d77200,A_NOT_APPROVED,Uber,18.98,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,98801066-b414-4dd0-b11c-a2387100e6f9,A_NOT_APPROVED,Marriott,5.3,Awaiting approval,Approve transaction
P2,98801066-b414-4dd0-b11c-a2387100e6f9,A_NOT_APPROVED,Marriott,5.3,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f36705a0-c52d-4142-82aa-1c7b412f7727,A_NOT_APPROVED,Marriott,5.3,Awaiting approval,Approve transaction
P2,f36705a0-c52d-4142-82aa-1c7b412f7727,A_NOT_APPROVED,Marriott,5.3,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,bfbe8bd4-5534-4196-9a9a-5bab9c21c9bc,A_NOT_APPROVED,Portland,28.8,Awaiting approval,Approve transaction
P2,bfbe8bd4-5534-4196-9a9a-5bab9c21c9bc,A_NOT_APPROVED,Portland,28.8,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,370368c2-53fc-4ddc-88f3-04edff775978,A_NOT_APPROVED,Airport,28.63,Awaiting approval,Approve transaction
P2,370368c2-53fc-4ddc-88f3-04edff775978,A_NOT_APPROVED,Airport,28.63,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,49a6df3c-b723-4f30-a139-e13075c140d0,A_NOT_APPROVED,HB Fresh,24.13,Awaiting approval,Approve transaction
P2,49a6df3c-b723-4f30-a139-e13075c140d0,A_NOT_APPROVED,HB Fresh,24.13,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4801c356-cea4-4b9c-8646-dc5caaf510df,A_NOT_APPROVED,Marriott,20.33,Awaiting approval,Approve transaction
P2,4801c356-cea4-4b9c-8646-dc5caaf510df,A_NOT_APPROVED,Marriott,20.33,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,87de8973-2959-457a-9a43-5836cb1a8e00,A_NOT_APPROVED,Uber,24.97,Awaiting approval,Approve transaction
P2,87de8973-2959-457a-9a43-5836cb1a8e00,A_NOT_APPROVED,Uber,24.97,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,1e22eb52-7b37-4339-9219-0509d1caab30,A_NOT_APPROVED,Uber,27.94,Awaiting approval,Approve transaction
P2,1e22eb52-7b37-4339-9219-0509d1caab30,A_NOT_APPROVED,Uber,27.94,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,bfabcc4b-3471-4d84-84d4-1586863fdb8c,A_NOT_APPROVED,Travel @ Ease,14.24,Awaiting approval,Approve transaction
P2,bfabcc4b-3471-4d84-84d4-1586863fdb8c,A_NOT_APPROVED,Travel @ Ease,14.24,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4fcdad29-475f-46f2-a4a3-71e8a8a6f211,A_NOT_APPROVED,Uber,36.94,Awaiting approval,Approve transaction
P2,4fcdad29-475f-46f2-a4a3-71e8a8a6f211,A_NOT_APPROVED,Uber,36.94,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,2f117105-1dd4-4125-b583-5562460a5e26,A_NOT_APPROVED,T2 Umaizushi Sushi Fll Restaurant,45.58,Awaiting approval,Approve transaction
P2,2f117105-1dd4-4125-b583-5562460a5e26,A_NOT_APPROVED,T2 Umaizushi Sushi Fll Restaurant,45.58,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,ad49c3d9-2166-4243-9b75-91b561ecb9ba,A_NOT_APPROVED,Evolve,16.32,Awaiting approval,Approve transaction
P2,ad49c3d9-2166-4243-9b75-91b561ecb9ba,A_NOT_APPROVED,Evolve,16.32,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,05c9572c-c02a-4116-acea-10f4cd87e8a5,A_NOT_APPROVED,Evolve,11.99,Awaiting approval,Approve transaction
P2,05c9572c-c02a-4116-acea-10f4cd87e8a5,A_NOT_APPROVED,Evolve,11.99,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,9b7a7922-3aa8-4724-ba2c-ba01397a3ecc,A_NOT_APPROVED,Dfw Airport Parking,96,Awaiting approval,Attach receipt
P1,9b7a7922-3aa8-4724-ba2c-ba01397a3ecc,A_NOT_APPROVED,Dfw Airport Parking,96,Awaiting approval,Approve transaction
P2,9b7a7922-3aa8-4724-ba2c-ba01397a3ecc,A_NOT_APPROVED,Dfw Airport Parking,96,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,5ce3ec5d-40a3-4b88-bfcd-108505038741,A_NOT_APPROVED,Arlington Crown Ca,71.46,Awaiting approval,Approve transaction
P2,5ce3ec5d-40a3-4b88-bfcd-108505038741,A_NOT_APPROVED,Arlington Crown Ca,71.46,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,2725d467-5c53-4265-9227-11871dfccd38,A_NOT_APPROVED,Rooftop,2524.56,Awaiting approval,Attach receipt
P1,2725d467-5c53-4265-9227-11871dfccd38,A_NOT_APPROVED,Rooftop,2524.56,Awaiting approval,Add memo
P1,2725d467-5c53-4265-9227-11871dfccd38,A_NOT_APPROVED,Rooftop,2524.56,Awaiting approval,Approve transaction
P2,2725d467-5c53-4265-9227-11871dfccd38,A_NOT_APPROVED,Rooftop,2524.56,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,1494d220-6e17-423f-a5b6-749ab155d61a,A_NOT_APPROVED,Sfo Parkingcentra,54,Awaiting approval,Approve transaction
P2,1494d220-6e17-423f-a5b6-749ab155d61a,A_NOT_APPROVED,Sfo Parkingcentra,54,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,cd344cf8-12c6-4009-8c54-da8db2918bd2,A_NOT_APPROVED,Uber,106.89,Awaiting approval,Approve transaction
P2,cd344cf8-12c6-4009-8c54-da8db2918bd2,A_NOT_APPROVED,Uber,106.89,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,3c2d0fda-4445-42b9-ba99-1f85001f6e78,A_NOT_APPROVED,Power Center,28.1,Awaiting approval,Approve transaction
P2,3c2d0fda-4445-42b9-ba99-1f85001f6e78,A_NOT_APPROVED,Power Center,28.1,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,e799729f-9ba3-4242-b018-4389adb20415,A_NOT_APPROVED,Uber,31.39,Awaiting approval,Approve transaction
P2,e799729f-9ba3-4242-b018-4389adb20415,A_NOT_APPROVED,Uber,31.39,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,9ca95b32-7cbd-4d5f-9724-9cbbeca8978e,A_NOT_APPROVED,Uber,6.27,Awaiting approval,Approve transaction
P2,9ca95b32-7cbd-4d5f-9724-9cbbeca8978e,A_NOT_APPROVED,Uber,6.27,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,180cb041-78f3-4ce5-a273-0639d2393b5c,A_NOT_APPROVED,365 Retail Markets,5,Awaiting approval,Approve transaction
P2,180cb041-78f3-4ce5-a273-0639d2393b5c,A_NOT_APPROVED,365 Retail Markets,5,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,71ab53e5-e91f-40d3-99aa-484cbfb1a1e6,A_NOT_APPROVED,Rocco's Tacos,37.72,Awaiting approval,Approve transaction
P2,71ab53e5-e91f-40d3-99aa-484cbfb1a1e6,A_NOT_APPROVED,Rocco's Tacos,37.72,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,d83d89e6-1ce4-4aef-9a08-c04d730255ba,A_NOT_APPROVED,American Airlines,119.02,Awaiting approval,Resolve policy violation/exception in Ramp policy workflow
P1,d83d89e6-1ce4-4aef-9a08-c04d730255ba,A_NOT_APPROVED,American Airlines,119.02,Awaiting approval,Approve transaction
P2,d83d89e6-1ce4-4aef-9a08-c04d730255ba,A_NOT_APPROVED,American Airlines,119.02,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,dc5c29b8-15a5-4cef-afa9-13cced3c1629,A_NOT_APPROVED,Lyft,26.86,Awaiting approval,Approve transaction
P2,dc5c29b8-15a5-4cef-afa9-13cced3c1629,A_NOT_APPROVED,Lyft,26.86,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,c7524ab9-ca72-4ab6-b9b3-17211ae0ff7c,A_NOT_APPROVED,Airport,37.66,Awaiting approval,Approve transaction
